а	und, aber
август	August
автобус	Bus
автор	Autor
администрация	Verwaltung, Administration
адрес	Adresse
активный	aktiv
Алло!	Hallo!
английский	englisch
англичанин	Engländer
англичанка	Engländerin
англо-русский	englisch-russisch
анкета	Umfrage, Fragebogen
апельсин	Apfelsine
аппетит	Appetit
апрель	April
аптека	Apotheke
артист	Künstler, Schauspieler
артистка	Künstlerin, Schauspielerin
архитектор	Architekt
архитектура	Architektur
аудитория	Auditorium
аэропорт	Flughafen
бабочка	Schmetterling
бабушка	Großmutter
багаж	Gepäck
балет	Ballett
банк	Bank
баскетбол	Basketball
бассейн	Schwimmbad, Schwimmbecken
бедный	arm
без	ohne
бейсбол	Baseball
белый	weiss
берег	Ufer, Küste
бесплатный	kostenlos
библиотека	Bibliothek
бизнес	Business
бизнесмен	Geschäftsmann
билет	Fahrschein, Karte, Ticket
биография	Biographie
биолог	Biologe
биология	Biologie
близко	nah
бог	Gott
богатый	reich
болен	krank
больница	Krankenhaus
больно	schmerzhaft
больной	Kranker, krank
больше	mehr
большой	groß
брат	Bruder
будущий	zukünftig
буква	Buchstabe
булочная	Bäckerei
бумага	Papier
бутерброд	belegtes Brötchen
бутылка	Flasche
быстро	schnell
в	in, an, nach
во	in, an, nach
вагон	Wagen
важно	wichtig
ваш	Ihr, euer
вверх	hinauf
вдруг	plötzlich
везде	überall
век	Jahrhundert
великий	groß
весело	lustig
весна	Frühling
весной	im Frühling
весь	alle, ganz, alles
ветер	Wind
вечер	Abend
вечером	am Abend, abends
вещь	Ding, Sache
видео	Video
виза	Visum
вилка	Gabel
вино	Wein
вкусно	schmackhaft
власть	Macht, Herrschaft
вместе	zusammen
вниз	hinunter, nach unten
внимание	Aufmerksamkeit, Achtung!
внимательно	aufmerksam
внук	Enkel
внучка	Enkelin
вовремя	rechtzeitig, pünktlich
вода	Wasser
водка	Vodka
воздух	Luft
возможно	möglicherweise, kann sein
вокзал	Bahnhof
волейбол	Volleyball
волк	Wolf
волосы	Haare
вопрос	Frage
восемнадцать	achtzehn
восемь	acht
восемьдесят	achtzig
восемьсот	achthundert
воскресенье	Sonntag
восток	Osten
восточный	östlich
вот	hier, da
вперёд	vorwärts
враг	Feind, Gegner
врач	Arzt
время	Zeit
всегда	immer
встреча	Treffen
вторник	Dienstag
вход	Eingang
вчера	gestern
вы	ihr, Ihr
высокий	hoch, groß
высота	Höhe
выставка	Ausstellung
выход	Ausgang
газета	Zeitung
галерея	Galerie
где	wo
географ	Geograph
география	Geographie
герой	Held
гитара	Gitarre
главный	hauptsächlich
глаз	Auge
глубокий	tief
год	Jahr
голова	Kopf
голос	Stimme
голубой	hellblau
гора	Berg
город	Stadt
горький	bitter
горячий	heiss
господин	Herr
госпожа	Frau
гостиница	Hotel
гость	Gast
государственный	staatlich
государство	Staat
готов	bereit
градус	Grad
грамм	Gramm
граница	Grenze
грипп	Grippe
громко	laut
группа	Gruppe
грустно	traurig
грязный	schmutzig
да	ja
давайте	Lass/t uns	...!
давно	seit langem
даже	sogar
далеко	weit weg
дата	Datum
два	zwei
двадцать	zwanzig
двенадцать	zwölf
дверь	Tür
двести	zweihundert
дворец	Palast
девочка	kleines Mädchen
девушка	Mädchen, junge Frau
девяносто	neunzig
девятнадцать	neunzehn
девять	neun
девятьсот	neunhundert
дедушка	Grossvater
декабрь	Dezember
дело	Angelegenheit
день	Tag
деньги	Geld
депутат	Abgeordneter
деревня	Dorf
дерево	Baum, Holz
десять	zehn
дети	Kinder
детство	Kindheit
дёшево	billig
диалог	Dialog
диван	Sofa
директор	Direktor
длинный	lang
днём	am Tage
до	bis
добрый	gut
доволно	ziemlich, ausreichend
дождь	Regen
документ	Dokument
долги	Schulden
долго	lange	(zeitlich)
должен	müssen, sollen
дом	Haus
дома	zu Hause, Zuhause
домой	nach Hause
домохозяйка	Hausfrau
дорога	Weg
дорого	teuer
дорогой	liebe, teuer
До свидания!	Auf Wiedersehen!
дочь	Tochter
друг	Freund
другой	der andere
дружба	Freundschaft
душ	Dusche
дядя	Onkel
европейский	europäisch
его	sein, seine
еда	Essen
её	ihr, ihre
если	wenn
ещё	noch
ёж	Igel
ёлка	Weihnachtsbaum
жалко	schade, bedauerlich
жарко	heiß
жена	Ehefrau
женский	weiblich
женщина	Frau
жёлтый	gelb
живой	lebendig, lebend
живопись	Malerei
животное	Tier
жизнь	Leben
житель	Bewohner, Einwohner
журнал	Zeitschrift
журналист	Journalist
за	für, an
завод	Betrieb
завтра	morgen
завтрак	Frühstück
задание	Aufgabe, Auftrag
задача	Problem, Aufgabe
закат	Sonnenuntergang
закон	Gesetz
закрыт	geschlossen
зал	Saal
замечательный	hervorragend
замок	Türschloss
замужем	verheiratet
занят	beschäftigt, besetzt
занятие	Beschäftigung, Unterricht
запад	Westen
западный	westlich
зачем	wozu
заяц	Hase
звонок	Anruf
звук	Laut, Klang
здание	Gebäude
здесь	hier
здоров	gesund
здравствуйте!	Hallo!	Guten Tag!
зелёный	grün
земля	Erde
зеркало	Spiegel
зима	Winter
зимний	winterlich
зимой	im Winter
злой	böse
знакомство	Bekanntschaft
знакомый	Bekannter, bekannt
значение	Bedeutung
золото	Gold
золотой	golden, goldig
зонт	Regenschirm
зоопарк	Zoo
зрение	Sehvermögen
зуб	Zahn
и	und
игла	Nadel
игра	Spiel
игрушка	Spielzeug
из	aus
известный	bekannt
извините!	Entschuldigen Sie!
или	oder
имя	Vorname
инженер	Ingenieur
иногда	manchmal
иностранец	Ausländer
иностранка	Ausländerin
иностранный	ausländisch
институт	Hochschule, Institut
интересно	interessant
Интернет	Internet
искусство	Kunst
испанец	Spanier
испанка	Spanierin
испанский	spanisch
историк	Historiker
исторический	historisch
история	Geschichte
их	ihr, ihre
июль	Juli
июнь	Juni
к	zu, an, bis
кабинет	Arbeitszimmer
каждый	jeder
как	wie
какой	welcher
каникулы	Ferien
карандаш	Bleistift
карта	Karte
картина	Bild, Gemälde
картофель	Kartoffel
касса	Kasse
кассета	Kassette
кафе	Café
каша	Brei
квартира	Wohnung
килограмм	Kilogramm
километр	Kilometer
кино	Film, Kino
киоск	Kiosk
китаец	Chinese
китаянка	Chinesin
китайский	Chinesisch
класс	Klasse
клуб	Klub, Verein
